filename,age,gender,race,race_str,age_group,prompt
9_0_2_20170110215518068.jpg,9,man,2.0,Asian,0,a photo of a 9 year old person
8_1_2_20170109205424712.jpg,8,woman,2.0,Asian,0,a photo of a 8 year old person
12_1_2_20170109203838187.jpg,12,woman,2.0,Asian,10,a photo of a 12 year old person
13_0_2_20170103201143159.jpg,13,man,2.0,Asian,10,a photo of a 13 year old person
24_1_2_20170109213251114.jpg,24,woman,2.0,Asian,20,a photo of a 24 year old person
66_0_2_20170111205753656.jpg,66,man,2.0,Asian,60,a photo of a 66 year old person
65_0_2_20170111205651706.jpg,65,man,2.0,Asian,60,a photo of a 65 year old person
69_1_2_20170111210824053.jpg,69,woman,2.0,Asian,60,a photo of a 69 year old person
76_1_2_20170110182935621.jpg,76,woman,2.0,Asian,70,a photo of a 76 year old person
75_0_2_20170111210029130.jpg,75,man,2.0,Asian,70,a photo of a 75 year old person
85_1_2_20170110175723033.jpg,85,woman,2.0,Asian,80,a photo of a 85 year old person
82_0_2_20170111210110290.jpg,82,man,2.0,Asian,80,a photo of a 82 year old person
85_1_2_20170110181640900.jpg,85,woman,2.0,Asian,80,a photo of a 85 year old person
80_0_2_20170111210646563.jpg,80,man,2.0,Asian,80,a photo of a 80 year old person
86_0_2_20170111210346308.jpg,86,man,2.0,Asian,80,a photo of a 86 year old person
96_1_2_20170110182504813.jpg,96,woman,2.0,Asian,90,a photo of a 96 year old person
90_0_2_20170111210212331.jpg,90,man,2.0,Asian,90,a photo of a 90 year old person
90_1_2_20170111221639268.jpg,90,woman,2.0,Asian,90,a photo of a 90 year old person
90_0_2_20170110183643228.jpg,90,man,2.0,Asian,90,a photo of a 90 year old person
90_0_2_20170111210301275.jpg,90,man,2.0,Asian,90,a photo of a 90 year old person
100_1_2_20170110182836729.jpg,100,woman,2.0,Asian,100,a photo of a 100 year old person
9_0_1_20170110224349623.jpg,9,man,1.0,Black,0,a photo of a 9 year old person
1_1_1_20170109194645713.jpg,1,woman,1.0,Black,0,a photo of a 1 year old person
9_0_1_20170110225612237.jpg,9,man,1.0,Black,0,a photo of a 9 year old person
1_0_1_20170110213111809.jpg,1,man,1.0,Black,0,a photo of a 1 year old person
3_0_1_20170110213659314.jpg,3,man,1.0,Black,0,a photo of a 3 year old person
10_0_1_20170110225121326.jpg,10,man,1.0,Black,10,a photo of a 10 year old person
10_1_1_20170109203520178.jpg,10,woman,1.0,Black,10,a photo of a 10 year old person
30_1_1_20170110120856819.jpg,30,woman,1.0,Black,30,a photo of a 30 year old person
45_0_1_20170111200809203.jpg,45,man,1.0,Black,40,a photo of a 45 year old person
58_0_1_20170111210843429.jpg,58,man,1.0,Black,50,a photo of a 58 year old person
